child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],sentence
andy,0.4977045369180756,0.5008271158636088,0.49535104581490186,0.4970361650379661,0.4989525805643462,0,0.4942553776333458,0.5010617338200845,0
andy,0.5063249534297201,0.4966642343814156,0.498259003508384,0.5009177740118304,0.5003757112562196,0,0.49960601978120706,0.5028919493203038,0
andy,0.5016312415849363,0.5005653352073327,0.49952525210627136,0.4969160900892097,0.4964126354762318,0,0.4972786559186116,0.497149628991338,0
andy,0.4999198269298452,0.49902410483044596,0.498019196179772,0.4980166241545061,0.49828846652929715,0,0.4979664211890497,0.49838936620636415,0
andy,0.498777553384624,0.5035475754544206,0.5032660723775605,0.5005313390510089,0.49973673769974575,0,0.5004405648566674,0.49958115144690857,0
andy,0.49950905319098016,0.4978473153309712,0.49981674692442607,0.5017757181049532,0.4982967432374396,0,0.49571010718256725,0.5005905827881577,0
andy,0.5012496753950971,0.4974478109557338,0.49767022829314045,0.5029102124524008,0.5014626791579985,0,0.502143042585538,0.5006312833973825,0
andy,0.4978748547457537,0.5029693224276864,0.4980493405646868,0.4981016140092097,0.5007414373063658,0,0.49684382739763233,0.5007059406816927,0
andy,0.0036571044615855055,0.9963181919683766,0.9962703292630125,0.9962868891946286,0.0037135050595114086,0,0.00413769340014955,0.0038674165028374156,1
andy,0.012775750625974091,0.9869274545843737,0.013526772229469783,0.013755864001121972,0.01376606682653717,0,0.019611077104624033,0.015308279662171414,1
andy,0.24976931092707153,0.6437311722235383,0.45594179768613735,0.5003837128964556,0.4746238130955891,0,0.9451088566447734,0.7894898498797821,1
andy,0.24724931640347314,0.6417556457470517,0.450799476154701,0.501309883004533,0.48287663735459635,0,0.9453868761532765,0.7895447517953941,1
andy,0.242944546357797,0.6539763152611058,0.46133828247934466,0.5059000759310222,0.4922601684006324,0,0.945908280489144,0.791994722676949,1
andy,0.24668933200841905,0.6377813148128576,0.45593823470504263,0.5119024950313925,0.4796679150201426,0,0.9447917538319937,0.7936519439607542,1
andy,0.24782500118160625,0.6392946722303453,0.44807433051161755,0.5115448185927016,0.4942925571360215,0,0.946113357507754,0.7929744424650608,1
andy,0.24419347675150274,0.6500638176583634,0.4510197945076084,0.5018225486638753,0.488420367256063,0,0.9450346393026187,0.7928915856746453,1
andy,0.0005524706109972087,0.9994372203313017,0.9994327505849881,0.9994343561754498,0.0005580692310224433,0,0.0006170210803525174,0.0005800686093342247,2
andy,0.0017903556233917195,0.9980792082742477,0.0018935569181598672,0.0019242469901384854,0.002102030815384616,0,0.002724718374447599,0.0020975798459923543,2
andy,0.0418317562026553,0.42577550077297455,0.1465265051039378,0.16178332124420822,0.22624232107477257,0,0.9902089792614728,0.8657194988038117,2
andy,0.04119410713197055,0.4249960454653091,0.14041165083343435,0.15988649817621098,0.2503760115070914,0,0.9902671671858111,0.8628470037054606,2
andy,0.039808001388805386,0.4661005946905042,0.1448920115126314,0.16087745449170504,0.2835098265352481,0,0.9903571532652793,0.865259097889574,2
andy,0.041261192501577885,0.40929425137457415,0.1467490968649424,0.17180137645106464,0.2330962179227807,0,0.9901494757524165,0.8733011202368834,2
andy,0.04094774233381865,0.42066135313054537,0.13674338695705296,0.16624850110102074,0.2808297600831192,0,0.9903978717352306,0.8676050146394827,2
andy,0.04049286183949478,0.4539380459164917,0.14003655887851596,0.15978624735212665,0.2665377560988765,0,0.990190548278206,0.8687028557724936,2
andy,9.64124510400662e-05,0.9999022810779855,0.999901568447873,0.9999018348998157,9.63627960491698e-05,0,0.00010626255611190106,0.00010020409042386214,3
andy,0.00031107103674774114,0.9996699039583025,0.00032125376419785557,0.00032734758861800326,0.0003705787773745786,0,0.0004672190561737478,0.00035463289004816615,3
andy,0.010197929088226913,0.07424354542457157,0.022379561698315398,0.024712938748518785,0.07064694522351686,0,0.9983029016339997,0.9063691406859298,3
andy,0.0099100826914909,0.07469276479390177,0.021285208699314582,0.02429124170222074,0.09781833013042537,0,0.9983129834876232,0.8964545123864837,3
andy,0.009227087764366796,0.0891193857778099,0.021680481253954605,0.024367110222643054,0.18648697547286466,0,0.9983274077997067,0.89784059441336,3
andy,0.00995786854174168,0.07031666990403228,0.022416592721627816,0.026220616484516433,0.07500222345221881,0,0.9982921525166779,0.9220196943555334,3
andy,0.009721017705042734,0.0747128055663229,0.02054899246430583,0.025095751675445626,0.16511920300009833,0,0.9983352568951525,0.9042482771283538,3
andy,0.009588600223331724,0.08473280909362912,0.021205917061972692,0.02430811268354398,0.12823864201515278,0,0.9982983879849348,0.9093426117369983,3
andy,4.52542495748368e-05,0.9999546822231371,0.9999546733489039,0.9999546406860026,4.525124309792696e-05,0,4.525359551499744e-05,4.532052183554487e-05,4
andy,5.567169541545788e-05,0.9999423684189368,5.6123360732510247e-05,5.74438285697752e-05,6.537223436369385e-05,0,8.249840007897415e-05,6.193487366843621e-05,4
andy,0.003365363085482093,0.011195957706066803,0.0037273451265107476,0.004233910039388894,0.013310308942558824,0,0.9997096758658148,0.9474854873574057,4
andy,0.0031824918709944146,0.011305575356799085,0.0035414324791197484,0.004177450504413851,0.021024164930602274,0,0.9997114176614665,0.9265135988943451,4
andy,0.002629121166747916,0.01350812672656428,0.0035619494567243754,0.004242004568934515,0.4373137241680674,0,0.9997137553156078,0.9115758414647653,4
andy,0.003172010363943443,0.010674450998063295,0.003734075717954362,0.004498477123216208,0.014305485894279915,0,0.9997078165731185,0.967156356958951,4
andy,0.002951243104917989,0.011418584862913028,0.0034018002619321547,0.0043623578379133115,0.08047919331531114,0,0.9997151940328215,0.938269822704653,4
andy,0.0029120150755499643,0.012796159388897077,0.003525751030356685,0.004200856107323043,0.03436248791456041,0,0.9997088639638333,0.9507565773851955,4
andy,4.528675501347649e-05,0.9999546822231371,0.9999546733489039,0.9999546406860026,4.525124309792696e-05,0,4.525359551499744e-05,4.532052183554487e-05,5
