child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],verb
andy,4.531366921300961e-05,0.9999546822231371,0.9999546733489039,0.9999546406860026,4.5251243097954585e-05,0,4.525359551499353e-05,4.53205218355901e-05,DECLARATIVE
andy,4.529666001840127e-05,0.9999546782603389,4.5390636508879645e-05,4.535102968150628e-05,4.538077341786906e-05,0,4.52419815972771e-05,4.5294373385407205e-05,IMPERATIVE
andy,0.0009450552020121572,0.3211394013959017,0.041372675176885365,0.04137266386734617,0.037726472693833446,0,0.21583540320910288,0.1850745796814719,add
andy,0.0005012961119283954,0.33928936276078125,0.04585669312002383,0.04585668049057823,0.01949900174352681,0,0.11526791322414642,0.0976713595925428,belong
andy,0.0006140442822450964,0.3221877811370175,0.05919118197770412,0.059191170337530186,0.029314301051359792,0,0.15778917183799113,0.13234331733829408,bite
andy,0.0017431220927558444,0.3131857986283546,0.07905931643352493,0.07905930813598883,0.05759120182142241,0,0.359557853412666,0.32039368074139396,break
andy,0.005317823905343078,0.2529991762083622,0.055067174722876255,0.055067175437175764,0.11799730053055935,0,0.7325072735691842,0.6966923294062317,bring
andy,0.0016958353782718927,0.3331750572574288,0.0913731632089797,0.09137315424750736,0.06432288015957777,0,0.37976515710945125,0.3370971232434272,buy
andy,0.0007899940696833863,0.2776181879437333,0.050853218227989605,0.0508532091476136,0.03563627251094936,0,0.20238332844373919,0.17289140343170362,call
andy,0.010284073417434536,0.32242326823393774,0.0573089144559672,0.057308920155416776,0.40195505933579967,0,0.9736099479601897,0.9558432890220718,carry
andy,0.0012376154887028257,0.24619338495021337,0.01730288560270976,0.017302878639253505,0.044219927818567206,0,0.2816684512107397,0.24841203532352363,catch
andy,0.000815270675481039,0.3837824008223112,0.3457135714691141,0.3457135595468228,0.036108814874380335,0,0.19972957217581433,0.16973634544810723,cause
andy,0.0008766380354022774,0.2880448088880211,0.0282483454308593,0.028248335629164845,0.029249068923764776,0,0.19161973376115116,0.16725190814371838,change
andy,0.004391622528711503,0.2684396580448424,0.049103361437571436,0.04910335920749265,0.12662868584858566,0,0.6747717828096362,0.6275746395464499,chase
andy,0.001065745522838113,0.3109784373764446,0.03428598863455834,0.0342859792336514,0.024962107131013322,0,0.22053760319333748,0.20057838577199472,climb
andy,0.000405278450815616,0.10673279957815618,0.008539408507952095,0.008539405865240268,0.0014146487724496781,0,0.08088133233006367,0.079585690321192,come
andy,0.0032789615277886153,0.30520619373923663,0.029295658532829782,0.02929565806580492,0.05955882608385721,0,0.5818701185519575,0.5553784611669855,count
andy,0.0044369227362488495,0.29727315427942547,0.08480710577366979,0.08480710391978774,0.2187417795890816,0,0.7716487177736082,0.7076366903413113,determine
andy,0.0005563032105280197,0.1671526497702852,0.10477551273583297,0.10477550846333317,0.00525368862264175,0,0.10893201342442349,0.10423194816343073,do
andy,0.0035245967797812305,0.3142434677310284,0.038283551909119695,0.03828355048087562,0.05511548918866127,0,0.5831669679380622,0.5588447526154452,dress
andy,0.005515045519285056,0.316586432276724,0.0808284222392669,0.08082842004994728,0.2843058492936512,0,0.8548900787689844,0.7971674340733007,drink
andy,0.005094956145320406,0.3016983408372229,0.09901769049183762,0.09901768659218324,0.2553051699335599,0,0.8078511002905812,0.7418907350367426,drive
andy,0.0013587337067043626,0.24993343323032047,0.035216269141284395,0.03521626071727213,0.0544239606195317,0,0.2868183069418806,0.24573808297021726,drop
andy,0.0034464207640243494,0.28022003463943324,0.028821066714101007,0.0288210640858787,0.1294520500123817,0,0.63546661963677,0.5812081755030254,eat
andy,0.009201040901670177,0.3349092774728142,0.07554180214090389,0.07554180588511594,0.37321503274342827,0,0.9601973093178509,0.9364598330196401,enjoy
andy,0.0014741441409931166,0.3645224025872771,0.10523260979569249,0.10523259738400303,0.06105029689500496,0,0.31555383548446425,0.27101962010761627,even
andy,0.000654637032016514,0.2931830442875468,0.028828837624983672,0.028828827783881072,0.016763212727472943,0,0.1512006365900831,0.13672992161793207,fall
andy,0.0014455412512518473,0.3097267255342804,0.07683762023266882,0.07683761226864871,0.04911419575247289,0,0.3287515845156326,0.29406005601737295,feel
andy,0.0016458047714850155,0.2277050697186288,0.06403029357267631,0.06403028905072639,0.06915989805083789,0,0.3965691639902984,0.35169867237789976,figure
andy,0.0009322365651002196,0.27036167994162374,0.01638334084434956,0.01638333318137486,0.013732528033060909,0,0.19971557601408818,0.18857722953072287,find
andy,0.0016571042673699798,0.28708913692937177,0.02302436046666989,0.02302435441608197,0.045637510545800675,0,0.3665910028202072,0.33628541540474743,finish
